CueNumber;ChannelID;FixtureID;AttributeName;Value;betweenCuesTime
24;1;;DIM;30;94.0
24;2;;DIM;30;94.0
24;3;;DIM;30;94.0
24;4;;DIM;30;94.0
24;5;;DIM;30;94.0
24;6;;DIM;30;94.0
24;11;;DIM;0;94.0
24;12;;DIM;0;94.0
24;;161;DIM;0;94.0
24;;1;DIM;30;94.0
24;;2;DIM;30;94.0
24;;3;DIM;30;94.0
24;;4;DIM;30;94.0
24;;5;DIM;30;94.0
24;;6;DIM;30;94.0
24;;11;DIM;0;94.0
24;;12;DIM;2;94.0
24;;13;DIM;2;94.0
24;21;;DIM;13;94.0
24;22;;DIM;13;94.0
24;101;;DIM;0;94.0
24;102;;DIM;0;94.0
24;103;;DIM;0;94.0
24;104;;DIM;0;94.0
24;105;;DIM;0;94.0
24;106;;DIM;0;94.0
24;107;;DIM;0;94.0
24;108;;DIM;0;94.0
24;109;;DIM;0;94.0
24;110;;DIM;0;94.0
24;;201;DIM;0;94.0
25;1;;DIM;0;385.0
25;2;;DIM;0;385.0
25;3;;DIM;0;385.0
25;4;;DIM;0;385.0
25;5;;DIM;0;385.0
25;6;;DIM;0;385.0
25;;1;DIM;0;385.0
25;;2;DIM;0;385.0
25;;3;DIM;0;385.0
25;;4;DIM;0;385.0
25;;6;DIM;0;385.0
26;;2;DIM;10;113.0
26;;3;DIM;0;113.0
26;;5;DIM;7;113.0
26;21;;DIM;0;113.0
26;22;;DIM;0;113.0
27;11;;DIM;50;245.0
27;;2;DIM;2;245.0
27;;5;DIM;0;245.0
27;;12;DIM;2;245.0
27;;13;DIM;1;245.0
28;11;;DIM;0;301.0
28;;2;DIM;0;301.0
28;;5;DIM;10;301.0
28;21;;DIM;2;301.0
28;22;;DIM;2;301.0
29;;5;DIM;0;81.0
29;;12;DIM;0;81.0
29;;13;DIM;0;81.0
29;21;;DIM;0;81.0
29;22;;DIM;0;81.0
30;1;;DIM;40;99.0
30;2;;DIM;40;99.0
30;3;;DIM;40;99.0
30;4;;DIM;40;99.0
30;5;;DIM;40;99.0
30;6;;DIM;40;99.0
30;;1;DIM;60;99.0
30;;2;DIM;60;99.0
30;;3;DIM;60;99.0
30;;4;DIM;60;99.0
30;;5;DIM;30;99.0
30;;6;DIM;100;99.0
30;;13;DIM;0;99.0
31;;13;DIM;7;97.0
32;1;;DIM;0;132.0
32;2;;DIM;0;132.0
32;3;;DIM;0;132.0
32;4;;DIM;0;132.0
32;5;;DIM;0;132.0
32;6;;DIM;0;132.0
32;;1;DIM;0;132.0
32;;2;DIM;0;132.0
32;;3;DIM;0;132.0
32;;4;DIM;0;132.0
32;;5;DIM;40;132.0
32;;6;DIM;0;132.0
32;;12;DIM;10;132.0
32;;13;DIM;6;132.0
33;1;;DIM;40;362.0
33;2;;DIM;40;362.0
33;3;;DIM;40;362.0
33;;1;DIM;0;362.0
33;;2;DIM;0;362.0
33;;3;DIM;0;362.0
33;;5;DIM;20;362.0
33;;12;DIM;5;362.0
33;;13;DIM;3;362.0
34;1;;DIM;60;362.0
34;2;;DIM;60;362.0
34;3;;DIM;60;362.0
35;1;;DIM;0;365.0
35;2;;DIM;0;365.0
35;3;;DIM;0;365.0
37;1;;DIM;0;62.0
37;2;;DIM;0;62.0
37;3;;DIM;0;62.0
37;4;;DIM;0;62.0
37;5;;DIM;0;62.0
37;6;;DIM;0;62.0
37;11;;DIM;0;62.0
37;12;;DIM;0;62.0
37;;161;DIM;0;62.0
37;;1;DIM;0;62.0
37;;2;DIM;0;62.0
37;;3;DIM;0;62.0
37;;4;DIM;0;62.0
37;;5;DIM;20;62.0
37;;6;DIM;0;62.0
37;;11;DIM;0;62.0
37;;12;DIM;7;62.0
