CueNumber;ChannelID;FixtureID;AttributeName;Value;betweenCuesTime
3;16;;DIM;0;116.0
3;17;;DIM;0;116.0
3;18;;DIM;0;116.0
3;19;;DIM;16;116.0
3;20;;DIM;16;116.0
3;21;;DIM;16;116.0
3;22;;DIM;16;116.0
3;23;;DIM;16;116.0
3;24;;DIM;16;116.0
3;25;;DIM;16;116.0
3;26;;DIM;16;116.0
3;27;;DIM;0;116.0
3;28;;DIM;0;116.0
3;29;;DIM;0;116.0
3;30;;DIM;0;116.0
3;31;;DIM;0;116.0
3;32;;DIM;0;116.0
3;33;;DIM;0;116.0
3;34;;DIM;19.5;116.0
3;35;;DIM;19.5;116.0
3;36;;DIM;19.5;116.0
3;37;;DIM;19.5;116.0
3;38;;DIM;19.5;116.0
3;39;;DIM;19.5;116.0
3;40;;DIM;19.5;116.0
3;41;;DIM;27;116.0
3;42;;DIM;27;116.0
3;43;;DIM;27;116.0
3;44;;DIM;27;116.0
3;45;;DIM;27;116.0
3;46;;DIM;27;116.0
3;47;;DIM;27;116.0
3;48;;DIM;0;116.0
3;49;;DIM;0;116.0
3;50;;DIM;0;116.0
3;51;;DIM;0;116.0
3;52;;DIM;0;116.0
3;53;;DIM;26;116.0
3;54;;DIM;31.5;116.0
3;55;;DIM;0;116.0
3;56;;DIM;0;116.0
3;57;;DIM;0;116.0
3;58;;DIM;0;116.0
3;59;;DIM;0;116.0
3;60;;DIM;0;116.0
3;61;;DIM;0;116.0
3;62;;DIM;0;116.0
3;63;;DIM;0;116.0
3;64;;DIM;0;116.0
3;73;;DIM;0;116.0
3;65;;DIM;0;116.0
3;66;;DIM;0;116.0
3;67;;DIM;0;116.0
3;;100;DIM;0;116.0
3;;101;DIM;0;116.0
3;;102;DIM;0;116.0
3;;103;DIM;0;116.0
3;;104;DIM;0;116.0
3;;105;DIM;20;116.0
3;;110;DIM;0;116.0
3;;111;DIM;0;116.0
3;;112;DIM;0;116.0
3;;113;DIM;0;116.0
3;;114;DIM;0;116.0
3;;115;DIM;0;116.0
3;68;;DIM;0;116.0
3;69;;DIM;0;116.0
3;70;;DIM;0;116.0
3;71;;DIM;0;116.0
3;72;;DIM;0;116.0
3;231;;DIM;0;116.0
3;232;;DIM;0;116.0
3;233;;DIM;0;116.0
3;234;;DIM;0;116.0
3;235;;DIM;0;116.0
4;1;;DIM;0;419.0
4;2;;DIM;0;419.0
4;3;;DIM;0;419.0
4;4;;DIM;0;419.0
4;5;;DIM;0;419.0
4;6;;DIM;0;419.0
4;7;;DIM;0;419.0
4;8;;DIM;0;419.0
4;9;;DIM;0;419.0
4;10;;DIM;0;419.0
4;11;;DIM;0;419.0
4;12;;DIM;0;419.0
4;13;;DIM;0;419.0
4;14;;DIM;0;419.0
4;15;;DIM;0;419.0
4;16;;DIM;0;419.0
4;17;;DIM;0;419.0
4;18;;DIM;0;419.0
4;19;;DIM;16;419.0
4;20;;DIM;16;419.0
4;21;;DIM;16;419.0
4;22;;DIM;16;419.0
4;23;;DIM;16;419.0
4;24;;DIM;16;419.0
4;25;;DIM;16;419.0
4;26;;DIM;16;419.0
4;27;;DIM;0;419.0
4;28;;DIM;0;419.0
4;29;;DIM;0;419.0
4;30;;DIM;0;419.0
4;31;;DIM;0;419.0
4;32;;DIM;0;419.0
4;33;;DIM;0;419.0
4;34;;DIM;19.5;419.0
4;35;;DIM;19.5;419.0
4;36;;DIM;19.5;419.0
4;37;;DIM;19.5;419.0
4;38;;DIM;19.5;419.0
4;39;;DIM;19.5;419.0
4;40;;DIM;19.5;419.0
4;41;;DIM;27;419.0
4;42;;DIM;27;419.0
4;43;;DIM;27;419.0
4;44;;DIM;27;419.0
4;45;;DIM;27;419.0
4;46;;DIM;27;419.0
4;47;;DIM;27;419.0
4;48;;DIM;0;419.0
4;49;;DIM;0;419.0
4;50;;DIM;0;419.0
4;51;;DIM;0;419.0
4;52;;DIM;0;419.0
4;53;;DIM;26;419.0
4;54;;DIM;31.5;419.0
4;55;;DIM;0;419.0
4;56;;DIM;0;419.0
4;57;;DIM;0;419.0
4;58;;DIM;0;419.0
4;59;;DIM;0;419.0
4;60;;DIM;0;419.0
4;61;;DIM;0;419.0
4;62;;DIM;0;419.0
4;63;;DIM;0;419.0
4;64;;DIM;0;419.0
4;73;;DIM;0;419.0
4;65;;DIM;0;419.0
4;66;;DIM;0;419.0
4;67;;DIM;0;419.0
4;;100;DIM;11;419.0
4;;101;DIM;0;419.0
4;;102;DIM;0;419.0
4;;103;DIM;0;419.0
4;;104;DIM;0;419.0
4;;105;DIM;20;419.0
4;;110;DIM;0;419.0
4;;111;DIM;0;419.0
4;;112;DIM;0;419.0
4;;113;DIM;0;419.0
4;;114;DIM;0;419.0
4;;115;DIM;0;419.0
4;68;;DIM;0;419.0
4;69;;DIM;0;419.0
4;70;;DIM;0;419.0
4;71;;DIM;0;419.0
4;72;;DIM;0;419.0
4;231;;DIM;0;419.0
4;232;;DIM;0;419.0
4;233;;DIM;0;419.0
4;234;;DIM;0;419.0
4;235;;DIM;0;419.0
5;1;;DIM;30;295.0
5;2;;DIM;30;295.0
5;3;;DIM;30;295.0
5;4;;DIM;30;295.0
5;5;;DIM;30;295.0
5;6;;DIM;0;295.0
5;7;;DIM;0;295.0
5;8;;DIM;0;295.0
5;9;;DIM;0;295.0
5;10;;DIM;0;295.0
5;11;;DIM;0;295.0
5;12;;DIM;0;295.0
5;13;;DIM;0;295.0
5;14;;DIM;0;295.0
5;15;;DIM;0;295.0
5;16;;DIM;0;295.0
5;17;;DIM;0;295.0
5;18;;DIM;0;295.0
5;19;;DIM;27;295.0
5;20;;DIM;27;295.0
5;21;;DIM;27;295.0
5;22;;DIM;27;295.0
5;23;;DIM;27;295.0
5;24;;DIM;27;295.0
5;25;;DIM;27;295.0
5;26;;DIM;27;295.0
5;27;;DIM;0;295.0
5;28;;DIM;0;295.0
5;29;;DIM;0;295.0
5;30;;DIM;0;295.0
5;31;;DIM;0;295.0
5;32;;DIM;0;295.0
5;33;;DIM;0;295.0
5;34;;DIM;2.5;295.0
5;35;;DIM;2.5;295.0
5;36;;DIM;2.5;295.0
5;37;;DIM;2.5;295.0
5;38;;DIM;2.5;295.0
5;39;;DIM;2.5;295.0
5;40;;DIM;2.5;295.0
5;41;;DIM;35.5;295.0
5;42;;DIM;35.5;295.0
5;43;;DIM;35.5;295.0
5;44;;DIM;35.5;295.0
5;45;;DIM;35.5;295.0
5;46;;DIM;35.5;295.0
5;47;;DIM;35.5;295.0
5;48;;DIM;0;295.0
5;49;;DIM;0;295.0
5;50;;DIM;0;295.0
5;51;;DIM;0;295.0
5;52;;DIM;0;295.0
5;53;;DIM;26;295.0
5;54;;DIM;31.5;295.0
5;55;;DIM;0;295.0
5;56;;DIM;0;295.0
5;57;;DIM;0;295.0
5;58;;DIM;0;295.0
5;59;;DIM;0;295.0
5;60;;DIM;0;295.0
5;61;;DIM;0;295.0
5;62;;DIM;0;295.0
5;63;;DIM;0;295.0
5;64;;DIM;0;295.0
5;73;;DIM;0;295.0
5;65;;DIM;0;295.0
5;66;;DIM;0;295.0
5;67;;DIM;0;295.0
5;;100;DIM;11;295.0
5;;101;DIM;0;295.0
5;;102;DIM;0;295.0
5;;103;DIM;0;295.0
5;;104;DIM;0;295.0
5;;105;DIM;11;295.0
5;;110;DIM;0;295.0
5;;111;DIM;0;295.0
5;;112;DIM;0;295.0
5;;113;DIM;0;295.0
5;;114;DIM;0;295.0
5;;115;DIM;0;295.0
5;68;;DIM;0;295.0
5;69;;DIM;0;295.0
5;70;;DIM;0;295.0
5;71;;DIM;0;295.0
5;72;;DIM;10.5;295.0
5;231;;DIM;0;295.0
5;232;;DIM;0;295.0
5;233;;DIM;0;295.0
5;234;;DIM;0;295.0
5;235;;DIM;0;295.0
6;69;;DIM;27.5;196.0
6;71;;DIM;27.5;196.0
7;;104;DIM;16;367.0
8;;100;DIM;17;54.0
9;;101;DIM;14;176.0
10;;100;DIM;11;148.0
10;;101;DIM;0;148.0
10;;104;DIM;10;148.0
11;11;;DIM;15.5;306.0
11;12;;DIM;15.5;306.0
11;13;;DIM;15.5;306.0
11;14;;DIM;15.5;306.0
11;15;;DIM;15.5;306.0
11;16;;DIM;15.5;306.0
11;17;;DIM;15.5;306.0
11;18;;DIM;15.5;306.0
11;;104;DIM;0;306.0
12;1;;DIM;30;275.0
12;2;;DIM;30;275.0
12;3;;DIM;30;275.0
12;4;;DIM;30;275.0
12;5;;DIM;30;275.0
12;6;;DIM;0;275.0
12;7;;DIM;0;275.0
12;8;;DIM;0;275.0
12;9;;DIM;0;275.0
12;10;;DIM;0;275.0
12;11;;DIM;21;275.0
12;12;;DIM;21;275.0
12;13;;DIM;21;275.0
12;14;;DIM;21;275.0
12;15;;DIM;21;275.0
12;16;;DIM;21;275.0
12;17;;DIM;21;275.0
12;18;;DIM;21;275.0
12;19;;DIM;27.5;275.0
12;20;;DIM;27.5;275.0
12;21;;DIM;27.5;275.0
12;22;;DIM;27.5;275.0
12;23;;DIM;27.5;275.0
12;24;;DIM;27.5;275.0
12;25;;DIM;27.5;275.0
12;26;;DIM;27.5;275.0
12;27;;DIM;0;275.0
12;28;;DIM;0;275.0
12;29;;DIM;0;275.0
12;30;;DIM;0;275.0
12;31;;DIM;0;275.0
12;32;;DIM;0;275.0
12;33;;DIM;0;275.0
12;34;;DIM;37;275.0
12;35;;DIM;37;275.0
12;36;;DIM;37;275.0
12;37;;DIM;37;275.0
12;38;;DIM;37;275.0
12;39;;DIM;37;275.0
12;40;;DIM;37;275.0
12;41;;DIM;37;275.0
